STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
071560,99999, 20160215,   39.5,18,   31.6,18, 1017.9,18, 1008.2,18,  12.4,18,  10.1,18,  15.0, 999.9,   45.3 ,  37.6*, 0.10G,999.9, 000000,
071560,99999, 20160216,   37.7,24,   25.5,24, 1033.8,24, 1023.9,24,  12.4,24,   6.2,24,  11.1, 999.9,   43.5 ,  33.8 , 0.00G,999.9, 000000,
071560,99999, 20160217,   33.6,24,   25.2,24, 1021.2,24, 1011.3,24,  10.9,24,   2.7,24,   7.0, 999.9,   40.6 ,  29.7 , 0.00G,999.9, 000000,
071560,99999, 20160218,   34.7,20,   29.5,20, 1015.8,20, 1006.1,20,   7.9,20,   5.1,20,   8.0, 999.9,   41.0*,  29.7 , 0.00G,999.9, 010000,
071560,99999, 20160219,   41.7,24,   32.2,24, 1022.2,24, 1012.5,24,  12.4,24,   4.7,24,   8.0, 999.9,   49.6 ,  34.3 , 0.03G,999.9, 000000,
071560,99999, 20160220,   50.2,24,   45.5,24, 1018.8,24, 1009.3,24,   9.7,24,   9.7,24,  13.0, 999.9,   54.7 ,  41.9 , 0.05G,999.9, 010000,
071560,99999, 20160221,   52.8,24,   46.3,24, 1020.1,24, 1010.7,24,  11.7,24,   8.2,24,  12.0, 999.9,   55.9 ,  51.1 , 0.02G,999.9, 010000,
071560,99999, 20160222,   51.6,24,   44.8,24, 1013.9,24, 1004.5,24,  12.0,24,   8.0,24,  11.1, 999.9,   54.9 ,  49.6 , 0.00G,999.9, 010000,
071560,99999, 20160223,   44.7,24,   35.0,24, 1017.0,24, 1007.4,24,  10.6,24,   5.8,24,   9.9, 999.9,   51.6 ,  41.0 , 0.24G,999.9, 010000,
071560,99999, 20160224,   40.6,24,   32.6,24, 1016.8,24, 1007.1,24,  11.7,24,   4.3,24,   8.0, 999.9,   47.1 ,  36.0 , 0.02G,999.9, 010000,
